id,salary
535,€60000 - €75000
536,60.000 € - 80.000 €
537,55.000 - 60.000
538,"30-40,000€"
539,50.000 - 60.000
540,52.000 - 60.000
541,50.000 - 55.000
542,"60,000- 70,000 Euro"
543,50.000 - 90.000
544,€
545,50000 - 60000
546,negotiable
547,"48,000-60,000"
548,65-70.000€
549,tbd.
550,70000 €- 80000 €
551,"45,000 - 60,000"
552,55000 - 65000
553,60.000€ - 65.000€
554,70000
555,"30,000 - 60,000 €"
556,60-70k
557,55.000-65.000
558,40000-60000
559,~50.000
560,50000 - 70000
561,55.000
562,40 000 - 60 000
563,50k
564,65.000 - 70.000
565,60.000€
566,70000
567,50000-60000
568,"70,000-80,000"
569,"70,000€ - 85,000€"
570,VB
571,50-60
572,"50,000-60,000€"
573,40000
574,60000
575,100.000 - 1100.000 €
576,75000-120000
577,59.000-63.000
578,€75.000 - €90.000
579,40000-54000
580,Depends
581,40 000 - 60 000
582,60-70k
583,"75,000€ - 80,000€"
584,...
585,>55k
586,55.000 - 60.000
587,"60,000 € - 85,000 €"
588,"55,000 - 60,000 EUR"
589,50000-80000
590,52000
591,>45.000€
592,49.000 - 54.000
593,60000
594,55-60.000 
595,EUR 60.000 - 80.000
596,85000
597,>45.000
598,70-75k
599,55000
600,tbd
601,55k - 60k
602,45.000 - 55.000 €
603,"80,000-85,000"
604,50000 - 70000
605,50000-60000
606,"50,000€ - 65,000€"
607,28.000-39.000
608,45.000
609,70000 EUR
610,60.000
611,"75,000€"
612,€70k-80k
613,€90.000 - €100.000
614,60000
615,"65,000 - 75,000"
616,tbd
617,45.000 - 65.000
618,upto 85000
619,80.000 - 120.000
620,70.000 - 80.000
621,60000 - 65000
622,550000
623,50.000 - 70.000
624,45.000€
625,tbd.
626,50.000
627,"70,000 - 80,000"
628,50.000 - 70.000 Euro
629,65000
630,40000-60000
631,55000-65000
632,"50,000-65000"
633,20000
634,"40,000 - 50,000 €"
635,50.000€ - 65.000€
636,100000-130000
637,45000
638,60.000-70.000
639,"€ 60,000 neg."
640,75000
641,70
642,60000-75000
643,60.000-75.000 EUR
644,50000
645,"€70,000"
646,>36.900 EUR
647,55.000-60.000
648,75000 - 80000
649,55.000-95.000 Euro
650,50.000 € 
651,60000
652,"65,000-85,000"
653,60.000 €
654,55000-60000
655,40 000 - 60 000
656,64000 - 68000
657,60000-110000
658,60.000 - 120.000
659,tbd
660,"70,000-80,000"
661,Bespreekbaar
662,"45,000"
663,65k - 80k
664,55000-60000
665,€75.000 - €90.000
666,55 000 - 85 000
667,55000
668,60.000
669,"50,000 - 60,000 EUR"
670,€ 50.000
671,45000
672,60000
673,50000
674,to be discussed
675,60000€ - 65000€
676,"70,000€ - 80,000€"
677,65000
678,55 000 - 75 000
679,79.000€
680,"65,000€ - 85,000€"
681,"45,000€ - 65,000€"
682,80.000+
683,70000 - 85000 €
684,offen
685,55000
686,>€55.000
687,"50,000-80,000"
688,100000
689,ca. 45.000
690,75.000-85.000
691,up to 60.000€
692,"80,000"
693,65.000-70.000
694,"65,000 € - 85,000€"
695,60.000 - 75.000
696,60.000-70.000
697,"65,000 - 75,000"
698,60000-110000
699,60.000
700,49.000 - 54.000€
701,Competitive
702,69.000 EUR 
703,50000
704,40K - 55K
705,"60,000€ – 70,000€"
706,75000
707,90.000
708,"65,000 - 85,000"
709,50000
710,€40.000-50.000
711,70000 - 75000
712,"55,000 - 60,000"
713,65000 - 70000
714,60.000>
715,50.000 - 70.000
716,1-99999€
717,60000 - 80000
718,30000 - 60000
719,40.000€ - 50.000€
720,"55,000€ - 65,000€"
721,from 65.000 €
722,60000-75000
723,70000-110000
724,"70,000€ - 90,000€"
725,75k+
726,"40,000€ - 60,000€"
727,"60,000-75,000 EUR"
728,67.500
729,53k
730,"60,000"
731,75000-85000
732,95.000-120.000
733,80k
734,40000 - 50000
735,65.000
736,"60,000k+"
737,50.000 - 60.000
738,"60,000€ -70,000€"
739,> 80000
740,40000-55000
741,"75,000 - 85,000"
742,50.000 - 80.000
743,">€54,700"
744,50000
745,35.000-45.000
746,85.000
747,90000-110000
748,60.000-85.000
749,Competitive 
750,50.000+
751,75k EUR
752,75000-120000
753,38000-52000
754,50.000 - 60.000
755,50000-65000
756,36.000€ - 40.000€
757,60.000
758,65-75
759,55k+
760,65.000-85.000€
761,>€70000
762,63.000-70.000
763,40.000 - 60.000
764,52.000€
765,75.000 EUR
766,75 000 - 90 000
767,40.000€ - 60.000€
768,60000-90000
769,nach Vereinbarung
770,40.000-46.000
771,"50,000 - 60,000"
772,TBD
773,43000
774,"55,000€ - 65,000€"
775,50-60k 
776,60000 - 70000 €
777,45.000 - 55.000
778,"55,000k+"
779,"55,000€ - 65,000€"
780,"55,000 - 65,000 €"
781,"40,000€ - 60,000€"
782,50.000 - 70.000
783,55-75.000
784,36000
785,80.000-85.000
786,"60,000-70,000"
787,60'000€ - 65'000€
788,75000-120000
789,"90,000+   "
790,40000-50000
791,40.000 - 60.000 EUR
792,75.000 - 85.000
793,60.000 - 67.000
794,63.000-70.000
795,"50,000€-55,000€"
796,68000 Eur
797,tbd
798,70.000 - 80.000
799,90.000
800,"50,000 - 55,000"
801,60.000
802,55.000+
803,negotiable
804,70000
805,"50,000-60,000€"
806,45k/55K
807,Open offer 
808,"70,000-75,000"
809,60-70k
810,62.000 - 68.000
811,70k +
812,70000
